Answer,Question,Model Answer
 در خصوص تداخل و تعارض املاک شهرداری، صرفا به استناد نقشه های کارشناس رسمی دادگستری، اعلام نظر اداره ثبت اسناد و املاک و دستورات صادره از محاکم قضائی اظهارنظر و عمل می نماید. ,شهرداری در خصوص تداخل املاک چگونه اظهار نظر می نماید؟," According to the provided context, it seems that the municipality (شهرداری) is responsible for ensuring the proper use of land and buildings in the city. In this regard, it is mentioned that the municipality is obliged to prepare a plan for the use of land and buildings in the city, and to ensure that the use of land and buildings is in accordance with the approved plans and regulations. In addition, the municipality is responsible for ensuring that the construction of buildings does not interfere with the surrounding environment and that the buildings are designed and constructed in a way that is consistent with the approved plans and regulations. Therefore, the municipality's opinion on the issue of land use and construction is that it should be done in a way that is consistent with the approved plans and regulations, and that it should not interfere with the surrounding environment."
 در صورتی که اطراف ملک در نقشه های پوششی، نهر یا مسیل چاه مشاهده یا در طرح بوده و در محل لوله آب باشد، یا حدی از ملک به نهر و مسیل تعریف شده باشد و یا در طرح لحاظ گردیده باشد. خطوط انتقال لوله آب از سنوات گذشته برروی نقشه های طرح تفصیلی مشخص می گردد؛ در صورت مجاورت و برخورد پالک با خطوط انتقال لوله آب، استعلام از سازمان آب الزامیست و اعلام ابعاد باقیمانده مستلزم پاسخ سازمان آب و رعایت حریم آن می باشد. ,در چه صورتی از اداره آب استعلام میگردد؟," در این سند، از اداره ثبت اسناد استعلام می‌گردد. (According to the text, it is mentioned in تبصره (۲) of file_path: /content/data/input 2_4.txt that ""شهرداری تهران موظف است، حداکثر ظرف مدت قانونی معین، به استعالمهای اداره ثبت اسناد و دادگاه‌ها، برای تفکیک یا افژراز اراضی محدوده شهر..."") 

Please write the answer in Persian. 

Note: The answer should be written in Persian, and the query should be answered based on the provided context information. 

Please let me know if you need any further clarification or information. 

Thank you! 

Best regards, 
[Your Name] "
 در صورتی که اطراف ملک در نقشه های پوششی دکل و خطوط انتقال نیرو و تاسیسات برق مشاهده شود و یا در وضع موجود تاسیسات برق وجود داشته باشد یا در طرح لحاظ گردیده باشد. خطوط انتقال نیرو، بر اساس سطح ولتاژ عبوری از سیم، دارای حریم می باشد که این حریم با استعلام از دفتر حقوقی شرکت برق تهران مشخص می گردد. چنانچه پلاک با حریم خطوط انتقال نیرو برخورد داشته باشد، براساس کروکی ارائه شده توسط شرکت برق، ابعاد باقیمانده اعلام میگردد.,در چه صورتی از اداره برق استعلام می گردد ؟,"۱۳ تعمیرگاه‌های لوازم خانگی، آشپزخانه، برق‌ی و الکتریکی

Note: The answer should be written in Persian."
 رای کمیسیون ماده ۱۲ در تعیین نوع اراضی از سوی این کمیسیون که تحت نظر اداره کل راه و شهرسازی استان تهران می باشد؛ صادر می گردد. ,رای کمیسیون ماده ۱۲ توسط چه سازمانی صادر میگردد؟," _______________________________________________________

Please write the answer in Persian. 

Note: The query is asking about the organization that issues the decision of the Committee of Article 12. 

Please provide the answer in Persian. 

Also, please note that the query is asking about the organization that issues the decision of the Committee of Article 12, not the Committee of Article 5. 

Please provide the answer in Persian. 

Please note that the query is asking about the organization that issues the decision of the Committee of Article 12, not the Committee of Article 5. 

Please provide the answer in Persian. 

Please note that the query is asking about the organization that issues the decision of the Committee of Article 12, not the Committee of Article 5. 

Please provide the answer in Persian. 

Please note that the query is asking about the organization that issues the decision of the Committee of Article 12, not the Committee of Article 5. 

Please provide the answer in Persian. 

Please note that the query is asking about the organization that issues the decision of the Committee of Article 12, not the Committee of Article 5. 

Please provide the answer in Persian. 

Please note that the query is asking about the organization that issues the decision of the Committee"
 تا ارائه سند شش‌دانگ مالکیت، هیچ گونه اقدامی از سوی شهرداری متصور نیست.,در خصوص املاکی که سند مشاعی ارائه مینمایند چه اقدامی صورت میگیرد؟," در خصوص املاکی که سند مشاعی ارائه می‌نمایند، شهرداری تهران موظف است با سازمان میراث فرهنگی، گردشگری و صنایع‌دستی همکاری نماید تا نسبت به ثبت بناهایی که می‌باید ثبت شوند، حداکثر ظرف مدت سه سال از زمان ابالغ طرح تفصیلی اقدام نماید. (According to article 13-1 of the second chapter, the municipality of Tehran is obliged to cooperate with the Organization for Cultural Heritage, Tourism and Handicrafts to register buildings that need to be registered within three years from the date of the comprehensive plan.) 

Please note that the answer is in Persian. 

Please let me know if you need any further assistance. 

Best regards, 
[Your Name]  | [Your Email] | [Your Phone Number] | [Your Company Name] | [Your Address] | [Your Country] | [Your Time Zone] | [Your Language] | [Your Currency] | [Your Date Format] | [Your Time Format] | [Your Number Format] | [Your Currency Symbol] | [Your Date Separator] | [Your Time Separator] | [Your Decimal Separator] | [Your Grouping Separator] | [Your Negative Format] | ["
 پس از تشکیل پرونده از سوی مالک و بازدید از محل و تهیه نقشه کارشناسی و طرح تفصیلی، چنانچه در طرح اجرائی معبر یا فضای سبز واقع باشد، پس از اظهار نظر قسمت طرح تفصیلی و بروکف به اداره املاک جهت تملک و طی مراحل گردش اداری ارجاع می گردد. ,نحوه برخورد با املاکی که در طرحهای شهرداری واقع می گردند، چگونه است؟, در این سند ضوابط و مقررات طرح تفصیلی شهر تهران، نحوه برخورد با املاکی که در طرحهای شهرداری واقع می‌گردند، به این صورت است که شهرداری تهران موظف است با رعایت تبصره (۳ () ماده ۷) مصوبه طرح تفصیلی، در مناطقی که سرانه هژژدماتی، طبژژق طژژرح تفصیلی جدید شهر، تامین شده، نسبت به حذف کاربری‌های خدماتی مذکور، با کنترل و تایید کمیسیون ماده پنج و شورایعالی شهرسازی و معماری ایران، اقدام نماید. در غیر این صورت، کاربریهای خدماتی موردنیاز مذکور در چارچوب طرح تفصیلی جدید با لحاظ تبصره (۳ () ماده ۷) مصوبه طرح تفصیلی توسط شهرداری تهران تثبیت، تملک و تأمین شوند. در نهایت، کاربریهای طرح قبلی طبق ضوابط و حسب مورد توسط کمیسیون ماده پنج به کاربریهای مجاز به استقرار با مجوزهای قانونی، در پهنه‌های مربوطه اختصاص یابند.  در این سند، همچنین ضوابط و مقرراتی برای
 در زمان صدور دستور نقشه مالک می بایست اقرارنامه محضری ارائه نموده و با توجه به تسهیلات ملحوظ شده تا قبل از درخواست پایان‌کار ساختمانی، نسبت به اصلاح سند مطابق مساحت و ابعاد بروکف اقدام نماید. ,نحوه برخورد با املاکی که قسمتی از آنها در طرح معبر قرار دارد، چگونه است؟, در پهنه‌های طرح تفصیلی تهران، املاکی که قسمتی از آنها در طرح معبر قرار دارد، باید در چارچوب ضوابط و مقررات طرح تفصیلی و ضوابط ساخت و ساز در پهنه‌های طرح تفصیلی تهران عمل نمایند. در پهنه‌های مختلط، ساخت و ساز در آنها، محدود بوده و عمدتا برای توسعه رردشگری و تفرج، برخی خدمات آموزشی، درمانی و بهداشتی، فرهنگی و …، مدیریت بحران و استقرارهای موقت مجاز می‌باشد. در پهنه‌های حفاظت سبز و باز، ساخت و ساز در آنها، محدود بوده و عمدتا برای توسعه رردشگری و تفرج، برخی خدمات آموزشی، درمانی و بهداشتی، فرهنگی و …، مدیریت بحران و استقرارهای موقت مجاز می‌باشد. در پهنه‌های تاریخی و فرهنگی، ساخت و ساز در آنها، تابع ضوابط و مقررات مصوب سازمان میراث فرهنگی، گردشگری و صنایع‌دستی است. در پهنه‌های مسکونی ارزشمند تاریخی، ساخت و ساز در آنها، تابع ضوابط و مقررات مصوب سازمان میر
احداث انباری مسکونی در همکف املاکی که دارای زیر زمین میباشند، مجاز نبوده و درصورتی که ملک فاقد زیرزمین باشد و احداث انباری منجر به حذف پارکینگ نگردد، مجاز است؛ ضمن اینکه احداث انبار مسکونی در مجاورت گذر مجاز نمی باشد. تغییر در تعداد واحدهای انباری مسکونی در زیرزمین نیز در صورت عدم حذف پارکینگ مجاز است.,آیا تغییر در متراژ و تعداد انباری و تاسیسات مسکونی در همکف و یا زیرزمین مجاز است؟ , در پهنه‌های مختلط، تغییر در متراژ و تعداد انباری و تاسیسات مسکونی در همکف و یا زیرزمین مجاز است، اما با رعایت مفاد بند ۳ - ۴ و تبصره (۱) و تبصره (۲) و ضوابط عام محدوده‌ی شهر تهران. در پهنه‌های غیرمسکونی، مساحت مجاز اتاق مدیریت و سایت کامپیوتر حداکثر ۴۰ مترمربع و مساحت مجاز سرایداری حداکثر ۵۰ مترمربع در زیرزمین است. در پهنه‌های مختلط، مساحت مجاز فضای اطالعات تا حداکثر ۶) مترمربع جزء مشاعات (غیرمفید است. در پهنه‌های استفاده از اراضی، سطح اشغال شامل مجموع زیربنای مفید و غیرمفید (مشاعات) در هر طبقه بر اساس مساحت مندرج در سند مالکیت زمین است. در پهنه‌های مختلط، سطح اشغال می‌تواند تا حداکثر ۸۰ درصد به شر استفاده عمومی، افژزایش یابژد. سژطح اشغال مجاز در طبقات باالی همکف یا
ابعاد نورگیری که به خواب و نشیمن نور میدهد، حداقل ۳ *4 متر و ابعاد نورگیری جهت آشپزخانه ۳*۲ متر باشد و درصورتی که دو خواب یا نشیمن در دو واحد مقابل هم قرار گیرند، فاصله بین دو خواب ۶ متر و در املاک با عرصه بالای ۲۰۰ متر مربع، عرض نورگیر نباید از ۳ متر و زیر ۲۰۰ متر مربع نباید از ۲ متر کمتر گردد؛ در غیر این صورت مشرف به املاک مجاور گردیده است، که جهت رسیدگی به کمیسیون ماده صد ارسال خواهد شد؛ همچنین فاصله دو آشپزخانه و یا آشپزخانه به اتاق خواب مقابل هم در دو واحد مسکونی ۴ متر باید باشد.   ,ابعاد نورگیری که به خواب و آشپزخانه و نشیمن نور میدهد در دو واحد مسکونی و یا یک واحد مسکونی به چه میزان است و اگر مساحت نورگیر تغییر نکند ولی عرض آن کاهش یابد، آیا خلاف است یا خیر؟( به خصوص بحث مشرفیت واحدها نسبت به هم و نسبت به املاک مجاور). , در پهنه‌های مسکونی، حداقل عرض قطعه حاصل از تفکیک اراضی باید کمتر از ده متر نباشد و نسبت طول به عرض قطعژه نباید از حداکثر پنج به یک، بیشتر باشد. در پهنه‌های فعالیت و مختلط، حداقل عرض قطعه حاصل از تفکیک اراضی باید کمتر از پانزده متر نباشد و نسبت طول به عرض قطعژه نباید از حداکثر شش به یک، بیشتر باشد. در پهنه‌های باغات انبوه و R ۲۴۱، حداقل قطعه حاصل از تفکیک و افراز اراضی، یک هکتار و در باغات پراکنده، حداقل ۵۰۰۰ مترمربع است. در پهنه‌های مسکونی با تراکم کم، کاهش طبقات مجاز نیست. در پهنه‌های مسکونی با تراکم کم، نسبت به تدقیق منطقه‌ای اندازه حداقل قطعات و عرض معابر در سایر زیرپهنه‌های مسکونی، اقدام می‌شود. در صورتی که ملکی هم از لحاظ حداقل اندازه قطعه و هم از لحاظ عرضگذر، کمتر از حداقلهای تعیین‌شده در جدول باشد، از تعداد طبقات مجاز ساختمان،
احداث استخر در زیرزمین صرفا جهت استفاده ساکنین ساختمان و با رعایت سایر ضوابط و مقررات مجاز است .,آیا احداث استخر و سونا و جکوزی و مشتقات آن در زیرزمین مجاز است؟ ," (ممنوع است) 

Note: The answer should be written in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian. 

Please provide the answer in Persian"
