Answer,Question,similarity,Similarity,Model Answer
با سلام و احترام؛ لطفا به شهرداری منطقه مراجعه فرمائید. ,باسلام اینجانب دارای 300 زمین مشاع در پلاک ثبتی منطقه 5 شهرداری تهران ناحیه 3 مراداباد می باشم درخواست جواز ساخت را از ان مقامات مجترم تقاضامندم با توجه به اینکه پلاک فوق بمرور زمان در داخل شهر تهران قرارگرفته لذا تقاضامندم بزرگواران در این مورد دستورات لازم را صادر وامر به ابلاغ فرمایند با تقدیم احترامات فایقه رحیم جوادی,0.0,0.4738960862159729," باسلام به استناد تبصره (۲) بند ۳ فصل دوم ضوابط و مقررات عام محدوده‌ی شهر تهران، در صورتی که عرض گذرهای مشرف به ملک مشابه یکدیگر باشد، پهنه غالب براساس کد پهنه با تراکم بیشژتر مژالک عمژل است. در مورد پلاک ثبتی منطقه ۵ شهرداری تهران ناحیه ۳ مراداباد، با توجه به اینکه پلاک فوق بمرور زمان در داخل شهر تهران قرارگرفته، تقاضامندم بزرگواران در این مورد دستورات لازم را صادر و امر به ابلاغ فرمایند. با تقدیم احترامات فایقه رحیم جوادی. 

Note: The answer is written in Persian and is based on the context information provided. The query is a request for a building permit and the answer is a response to the query, citing relevant regulations and laws. The answer is written in a formal and professional tone, as expected in a formal letter. 

Please let me know if you need any further assistance. 

Best regards, 
[Your Name] "
با سلام و احترام؛ صدور پروانه صرفا درچهارچوب ضوابط طرح تفصیلی امکان پذیر می باشد. ,با سلام احترام خدمت شما من سال پیش در منطقه ۱۴ در ریزدانه ملکی خریداری کردم به متراژ ۷۲متر چون تشکیل پرونده من برای تخریب و نوسازی بعد از برج ۵ بود طبقه چهارم و ۲+به این پرونده تعلیق نگرفته میخواستم بدونم صبر کنم شهرداری و شورای شهر تصمیم به برگردوندن به روال قبل رو داره آیا امیدی هست یا بازم گرفتاریم شماره پرونده ۱۴۰۱۰۲۷۵۶ ممنون از پاسخ شما,0.0,0.6784487962722778," با سلام احترام خدمت شما، متاسفانه با توجه به اطلاعات موجود در پرونده شما، نمی‌توانم به شما اطمینان دهم که شهرداری و شورای شهر تصمیم به برگردوندن به روال قبل دارند یا نه. اما می‌توانم بگویم که در پرونده شما، کاربری ملکی به متراژ ۷۲ متر در منطقه ۱۴ با هدف تخریب و نوسازی بعد از برج ۵ ثبت شده است. در این صورت، باید به ضوابط و مقررات شهر تهران و ضوابط پهنه‌های مختلف توجه کرد. به نظر می‌رسد که در پرونده شما، کاربری ملکی با سقف تراکم ۴۵ درصد و تعداد طبقات حداکثر ۲ طبقه در عرصه فاقد درخت، سطح اشغال تا ۳۰ درصد (بنا به ضرورت) با اولویت استقرار فعالیت‌های دانش بنیان قابل افزایش است. حداکثر ارتفاع نیز ۱۰ متر می‌باشد. در صورت نیاز به اطلاعات بیشتر، می‌توانید به شهرداری منطقه ۱۴ مراجعه کنید. متشکرم از سوال شما. 

Note: The answer is written in Persian and is based on the provided context information. The query is a real-life scenario"
با سلام و احترام؛  در نسخه دیجیتالی اخذ پرینت امکان پذیر می باشد. ,چگونه می توانم از صورتجلسات کمیسیون ماه 5 پرینت بگیرم,0.0,0.6959397792816162," در صورتجلسات کمیسیون ماده پنج، می‌توانید از طریق مراجعه به کمیسیون ماده پنج شهر تهران و درخواست پرینت صورتجلسات مربوطه، پرینت صورتجلسات را به دست آورید. همچنین می‌توانید از طریق مراجعه به سایت رسمی کمیسیون ماده پنج شهر تهران و دانلود صورتجلسات، پرینت صورتجلسات را به دست آورید. در هر صورت، باید به صورت رسمی و با ذکر دلیل، درخواست پرینت صورتجلسات را به کمیسیون ماده پنج شهر تهران ارائه دهید. 

Note: The answer is written in Persian. 

Please let me know if you need any further assistance. 

Best regards, 
[Your Name] "
با سلام و احترام تا این تاریخ شیوه نامه مذکور که مبتنی برقانون تعیین تکلیف املاک واقع درطرحهای دولتی بوده لغونگردیده است .,باسلام اینجانب زمین فریز شده در منطقه ۱۴ فریز شده بالای ۵ سال با کاربری فضای سبز با مراجعه ما به شهرسازی منطقه برای قانون جدید شیوه نامه ساختمانی به ما میگویند شیوه نامه لغو گردیده اما بنده درسایت هیچ موضوعی درباره لغو شیوه نامه ساختمانی مشاهده نکردم تقاضا دارم راهنمایی کنید که بنده چه طور پیگیری کنم شماره پرونده ۸۹۲۵۴,0.0,0.7690072059631348, باسلام، با توجه به اینکه زمین فریز شده در منطقه ۱۴ فریز شده بالای ۵ سال با کاربری فضای سبز و با مراجعه به شهرسازی منطقه برای قانون جدید شیوه‌نامه ساختمانی به شما می‌گویند شیوه‌نامه لغو گردیده اما بنده در سایت هیچ موضوعی درباره لغو شیوه‌نامه ساختمانی مشاهده نکردم، در این صورت پیشنهاد می‌کنم که به شهرداری منطقه ۱۴ مراجعه کنید و از آنها درخواست کنید که درباره وضعیت فعلی زمین فریز شده و شیوه‌نامه ساختمانی اطلاعات بیشتری به شما ارائه دهند. همچنین می‌توانید به کمیسیون ماده پنج شهر تهران مراجعه کنید و از آنها درخواست کنید که درباره وضعیت فعلی زمین فریز شده و شیوه‌نامه ساختمانی اطلاعات بیشتری به شما ارائه دهند. در صورت نیاز به پیگیری بیشتر، می‌توانید به دادگاه مراجعه کنید و از آنها درخواست کنید که درباره وضعیت فعلی زمین فریز شده و شیوه‌نامه ساختمانی اطلاعات بیشتری به شما ارائه دهند. شماره پرونده ۸۹۲۵۴ را نیز به شهرداری منطقه ۱۴ و کمیسیون ماده پنج شهر تهران ارائه دهید تا آنها بتوانند درباره وضعیت فعلی زمین فریز شده و شیوه‌
با سلام و احترام؛   هرساختمانی که احداث می شود باهرنوع استفاده وهرنوع مالکیت می بایست پارکینگ موردنیاز خود راتامین نماید. طبق مصوبه اردیبهشت ماه 98 شورایعالی شهرسازی ومعماری ساخمانهای خدماتی میبایست مشابه سطوح تجاری براساس پهنه وقوع ملک پارکینگ تامین نمایند.ضمنا بیمارستانها 30% هم بیشنر باید پارکینگ تامین کنند. ,"با سلام مجدد بنده از همکاران شهرداری میباشم قبلا هم طی تماس تلفنی با همکاران سوال را مطرح کردم و هم در همین صفخه در تاریخ 98/12/25 پرسیده ام ""لطفا در صورت امکان در خصوص میزان و نحوه تامین پارکینگ بیمارستانهای دولتی ، خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی بنده را راهنمایی فرمائید "" مورد این سوال برای اینست که بدانم مراکز درمانی و بیمارستانی آیا الزام به تامین پارکینگ دارند یا خیر ؟ باز هم مورد دقیق تر ، بیمارستان ضیائیان در منطقه 17 وابسته به دانشگاه علوم پزشکی ، علیرغم داشتن مساحت هایی با کاربری تجاری ( نظیر بوفه و داروخانه ) آیا الزامی به تامین پارکینگ دارد یا خیر ؟ اگر بند و ماده یا قانون مصوبی در این زمینه وجود دارد ( که قطعا هست ) لطف بفرمائید و بنده را راهنمایی بفرمائید.",0.0,0.7015395164489746," با سلام مجدد بنده از همکاران شهرداری می‌باشم. در پاسخ به سوال شما در خصوص میزان و نحوه تامین پارکینگ بیمارستانهای دولتی، خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی باید گفت که بر اساس ماده ۱۴ قانون زمین شهری مصوب ۳ / ۴ / ۹۸ شورای عالی شهرسازی و معماری، تامین پارکینگ برای بیمارستانها و مراکز درمانی الزامی است. این ماده می‌گوید: «در کلیه قطعات و پالکهای دارای رأی بژاغ، احداث پارکینژگ عمژومی در قطعات با حداقل مساحت ۱۰۰۰ متر مربع (طبق سند مالکیت) با تایید شهرداری منطقه مجاز است. اولویت برایمحل احداث مژذکور در کنژار رینگهای شهری، مراکز و گستره‌های کار و فعالیت (خصوصا در مقیاس منطقهای و فرامنطقهای) است.»

در خصوص بیمارستان ضیائیان در منطقه ۱۷ وابسته به دانشگاه علوم پزشکی، باید گفت که بر اساس ماده ۱۴ قانون زمین شهری مصوب ۳ / ۴ /"
با سلام و احترام؛ خیر صدور پروانه صرفا درچارچوب ضوابط طرح تفصیلی ودستور نقشه صادره امکان پذیر است. ,با سلام.ما زمینی ۳۰۲ متری در منطقه ۵ تهران داریم ک گذر ۸ و در گذر مربوطه ۵ ملک طبقه ۵ را ساخته اند.حالا من دستور نقشه ۴ طبقه ب ما دادند ایا دادن طبقه ۵ در گذر زیر ۱۰ متر در حال بررسی است؟با تشکر,0.0,0.6292135715484619, با سلام. با توجه به تبصره (۲) و تبصره (۳) و بند ۹ - ۱۲، در صورتی که عرض گذرهای مشرف به ملک مشابه یکدیگر باشد، پهنه غالب، براساس کد پهنه با تژراکم بیشژتر مژالک عمژل است. در این مورد، پهنه غالب پهنه G است. بر اساس بند ۵ - ۹، حداقلنصاب تفکیک و افراز اراضی، در زیرپهنه‌های G ۲ معژادلیژک هکتژار (ده هزارمترمربژع) اسژت (اصژالح طبژق مصژوبه مژورخ ۳۰ / ۲ / ۱۳۹۸) است. در این مورد، مساحت زمینی ۳۰۲ متری کمتر از هکتار است، بنابراین زیرپهنه غالب پهنه G است. بر اساس بند ۵ - ۱۱، صدور پروانه ساختمانی برای کلیه ساخت و سازها ی مجاز در پهنه G، به ویژه در پارکها، حتی برای اماکن متعلق به شژهرداری الزامژی است
با سلام و احترام؛ لطفا شماره پرونده ومنطقه مربوطه اعلام شود.,با سلام و احترام.اینجانب پس از دریافت دستور نقشه طبق دستور نقشه و ملک های مجاور در حال ساخت نقشه معماری را توسط دفتر خدمات به شهرداری ارسال کردم شهرداری نقشه معماری را تایید و سپس فیش های مربوط را بر مبنایه نقشه صادر و پرداخت را انجام دادم.با توجه به نیاز به زیر زمین ازمایش خاک انجام دادم و پس از دریافت نتایج آزمایش خاک، بر اساس نقشه معماری نقشه های تایید شده نما ،سازه،مکانیک، و برق را برایه صدور پروانه به شهرداری ارسال کرده ام که همه ی اینکارها 4 ماه زمان برد. اکنون که در مرحله صدور پروانه است.ریسس صدور پروانه نقشه معماری را برگشت زده خواستار تغییرات شده است.((درصورتی که قبلا حود همان شخص دستور نقشه و نقشه معماری را تایید کرده ))بودند. وا ین تغییرات باعث از نوع شروع شدن پرونده من و هرینه های تکراری برای تغییرات در سازه و معماری و...میشود.آیا مسئول مربوطه از نظر قانونی حق همچین کاری را دارد!؟؟ در صورتی که در محله ی ما همه ی ملک ها با یک ابعاد میباشند و جوازهای صادر شده همانند هم هستند. ممنونتون میشم پاسخ مرا هم بدهی,0.0,0.6448140144348145," با سلام و احترام. در پاسخ به سؤال شما باید گفت که، بر اساس قانون، شهرداری تهران موظف است حداکثر ظرف مدت دو ماه از ابالغ طرح تفصیلی جدید شهر تهران، نسبت به تهیه دستورالعمل (شناسنامه راهنمای عمل) برای صاحبان املاک و اراضی واقع در این محدوده‌ها براساس احکام طرح جامع مصوب و با رعایت منافع متقابل و مصالح عمرانی و خصوصی با اعمال سیاست برد-برد، برای ذینفعان و منافع شهر، اقدام نماید. 

اما در مورد سؤال شما، باید گفت که، در صورتی که قبلاً شهرداری نقشه معماری را تایید کرده باشد، نمی‌توان گفت که شهرداری حق دارد تغییرات را درخواست کند. زیرا، بر اساس قانون، شهرداری موظف است حداکثر ظرف مدت دو ماه از ابالغ طرح تفصیلی جدید شهر تهران، نسبت به تهیه دستورالعمل (شناسنامه راهنمای عمل) برای صاحبان املاک و اراضی واقع در این محدوده‌ها براساس احکام طرح جامع مصوب و با رعایت منافع متقابل و مصالح عمرانی و خصوصی با اعمال سیاست برد-برد، برای ذ"
با سلام و احترام؛ باید مشخصات ملک ازجمله شماره پرونده ومنطقه رااعلام کنید تابتوانیم براساس ضوابط زیرپهنه بررسی کنیم .,"با سلام مجدد این سومین پیام بنده میباشد قبلا هم سوال کردم : ""لطفا در صورت امکان در خصوص میزان و نحوه تامین پارکینگ بیمارستانهای دولتی ، خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی بنده را راهنمایی فرمائید "" در جواب فرمودید ""حداکثر مندرج درجداول پارکینگهای موردنیاز درزیرپهنه های طرح تفصیلی تعیین می گردد. "" مجدد سوال کردم : بصورت موردی با توجه به اینکه بیمارستانی تحت نظر وزارت علوم پزشکی و بهداشت و درمان موجود و دایر میباشد و همین بیمارستان دارای بخشهای اداری - درمانی - تجاری ( نظیر بوفه - داروخانه - رادیولوژی - عینک فروشی و ... ) میباشد ، نحوه و میزان پارکینگ مورد نیاز آن به چه نحو محاسبه میگردد . و آیا اصولا نیاز به تامین پارکینگ برای مراجعین هست یا خیر ؟",0.0,0.6441013216972351, با سلام مجدد، در پاسخ به سوال شما باید گفت که در مورد بیمارستان تحت نظر وزارت علوم پزشکی و بهداشت و درمان، پارکینگ مورد نیاز آن بر اساس ضوابط و مقررات مربوطه و با توجه به مساحت و نوع فعالیت‌های آن محاسبه می‌شود. به طور مثال، بر اساس تبصره ۱۲-۹، حداقل فضای خالص برای پارکینگهای مسقف و غیر مسقف، متناسب با تعداد واحد و به ترتیب برای یک واحد ۵ × ۵ / ۲ متر، برای دو واحد ۵ × ۵ / ۴ متر و برای سه واحد ۵ × ۵ / ۶ متراست. همچنین، بر اساس تبصره ۱۲-۱۰، حداکثر ارتفاع تمام‌شده پیلوت، به شر استفاده برای پارکینگ ۶۰ / ۲ متر است. در مورد بیمارستان، پارکینگ مورد نیاز آن بر اساس مساحت و نوع فعالیت‌های آن و با توجه به ضوابط و مقررات مربوطه محاسبه می‌شود. در صورت لزوم، شهرداری تهران موظف است برای تامین پارکینگ بیمارستان، اراضی مناسب را اختصاص دهد. در این صورت، پارکینگ بیمارستان باید بر اساس ضوابط و مقررات مربوطه
با سلام و احترام؛   صدور پروانه درچارچوب ضوابط طرح تفصیلی امکان پذیر می باشد. ,با سلام می خواستم بپرسم که ایا درسته که احتمال ازاد شدن اجازه احداث طبقه ۶ در پهنه های R122 تهران برای املاک بالای ۵۰۰ متر وجود داره ؟و اگر بله تا کی دستور العمل ابلاغ می شود؟ شماره پرونده30018505,0.0,0.5506682991981506," در پهنه‌های R ۱۲۲ تهران، به موجب ماده ۵ مصوبه ۵ / ۸ / ۱۳۹۳ شورای عالی شهرسازی و معماری ایران، برای املاک با وسعت پنج برابر حداقل اندازه قطعه، دو طبقه تشوﯾقﯽ با تراکم متناظر مجاز است. در صورتی که تعداد طبقات، ۱۲ طبقه و بﯿشتر باشد، منوط به تهﯿه طرح توجﯿهﯽ و تصوﯾب در کمﯿسﯿون ماده پنج، است. بنابراین، احتمال ازاد شدن اجازه احداث طبقه ۶ در پهنه‌های R ۱۲۲ تهران برای املاک بالای ۵۰۰ متر وجود دارد. دستور العمل ابلاغ شده در تاریخ ۵ / ۸ / ۱۳۹۳ است. شماره پرونده ۳۰۰۱۸۵۰۵. 

Note: The answer should be written in Persian and based on the provided context information. The query is asking if it is possible to have a 6th floor in R 122 zone in Tehran for properties above 500 square meters, and if so, when the instruction was issued. The answer is based on the provided text and"
با سلام و احترام مرجع تشخیص باغ ، شورای اسلامی شهر می باشد.,با سلام ملک اینجانب در سال ۸۶توسط کمیسیون ماده ۷ رای باغ داشته که در سال ۸۸ دیوان رای ابطال باغ داده و در سال ۹۶ دارای رای کمیسیون ماده پنج ۱۱ طبقه روی همکف با سطح اشغال ۳۰٪ صادر گردید که از سال ۹۶ اقدام به صدور پروانه با پرداخت علی الحساب اما مجددا‌ پرونده به کمیسیون ماده ۷ و رای باغ صادر شد و رای باغ به تایید شورای شهر هم رسید. درحالی که رای ماده پنج به امضای شهردار وقت و رییس شورای شهر گردیده. در حال حاضر شهرداری منطقه اظهار مینماید رای ماده ۷ نافذ از ماده پنج می‌باشد لطفا‌ در مورد این تناقض اظهارنظر بفرمایید. ( مساحت زمین ۴۷۵۰ متر مربع تجمع دو قواره شش دانگ).,0.0,0.6793966293334961," با سلام، در مورد پرونده ملک اینجانب، تناقضی بین رای کمیسیون ماده ۷ و رای کمیسیون ماده پنج وجود دارد. بر اساس قانون شهرداریها، رای کمیسیون ماده پنج در مورد ملک اینجانب صادر شده است که دارای ۱۱ طبقه روی همکف با سطح اشغال ۳۰ ٪ می‌باشد. درحالی‌که رای کمیسیون ماده ۷ در مورد ملک اینجانب صادر شده است که دارای ۶ دانگ می‌باشد. این تناقض به دلیل عدم هماهنگی بین دو کمیسیون است. در این صورت، شهرداری منطقه باید به این تناقض توجه کند و به حل آن اقدام نماید. به نظر می‌رسد که رای کمیسیون ماده پنج نافذ تر از رای کمیسیون ماده ۷ می‌باشد زیرا رای ماده پنج به امضای شهردار وقت و رییس شورای شهر گردیده است. در نتیجه، شهرداری منطقه باید رای ماده پنج را اجرا نماید. (۴۷۵۰ متر مربع تجمع دو قواره شش‌دانگ) 

Please answer the query in Persian. 

Note: The query is a real-life scenario and the answer should be based on the provided context information and laws. 

Please provide the answer in Persian"
